"Cycle_Index","Discharge_Capacity (Ah)"
"1457","0.968"
"1458","0.968"
"1459","0.968"
"1460","0.968"
"1461","0.968"
"1462","0.968"
"1463","0.968"
"1464","0.968"
"1465","0.968"
"1466","0.967"
"1467","0.968"
"1468","0.967"
"1469","0.967"
"1470","0.967"
"1472","0.967"
"1474","0.967"
"1475","0.967"
"1476","0.967"
"1477","0.967"
"1478","0.967"
"1479","0.966"
"1480","0.967"
"1481","0.966"
"1482","0.966"
"1483","0.966"
"1484","0.966"
"1485","0.966"
"1486","0.966"
"1487","0.966"
"1488","0.966"
"1489","0.966"
"1490","0.966"
"1491","0.966"
"1492","0.966"
"1493","0.966"
"1494","0.966"
"1495","0.966"
"1496","0.965"
"1497","0.965"
"1499","0.965"
"1500","0.965"
"1501","0.965"
"1502","0.965"
"1503","0.965"
"1504","0.965"
"1505","0.965"
"1506","0.965"
"1507","0.965"
"1508","0.965"
"1509","0.965"
"1510","0.965"
"1511","0.965"
"1512","0.964"
"1513","0.964"
"1514","0.964"
"1515","0.964"
"1516","0.964"
"1517","0.964"
"1518","0.964"
"1520","0.964"
"1521","0.964"
"1522","0.964"
"1523","0.964"
"1524","0.964"
"1525","0.964"
"1526","0.964"
"1527","0.964"
"1528","0.964"
"1529","0.963"
"1530","0.963"
"1531","0.963"
"1532","0.963"
"1534","0.963"
"1535","0.963"
"1537","0.963"
"1538","0.963"
"1539","0.963"
"1540","0.963"
"1541","0.963"
"1542","0.963"
"1543","0.963"
"1545","0.962"
"1547","0.962"
"1548","0.962"
"1549","0.962"
"1550","0.962"
"1552","0.962"
"1553","0.962"
"1554","0.962"
"1556","0.962"
"1557","0.961"
"1559","0.961"
"1560","0.961"
"1562","0.961"
"1563","0.961"
"1564","0.961"
"1565","0.961"
"1566","0.961"
"1567","0.961"
"1569","0.961"
"1570","0.961"
"1571","0.961"
"1572","0.961"
"1573","0.961"
"1574","0.961"
"1575","0.96"
"1576","0.96"
"1577","0.96"
"1578","0.96"
"1580","0.96"
"1581","0.96"
"1582","0.96"
"1583","0.96"
"1584","0.96"
"1585","0.96"
"1586","0.96"
"1587","0.96"
"1590","0.959"
"1591","0.959"
"1592","0.959"
"1593","0.959"
"1594","0.959"
"1596","0.959"
"1597","0.959"
"1598","0.959"
"1599","0.959"
"1600","0.959"
"1601","0.959"
"1602","0.959"
"1603","0.959"
"1604","0.958"
"1605","0.959"
"1606","0.958"
"1608","0.958"
"1609","0.958"
"1610","0.852"
"1611","0.959"
"1613","0.959"
"1614","0.958"
"1615","0.958"
"1617","0.958"
"1619","0.958"
"1620","0.958"
"1621","0.958"
"1623","0.958"
"1624","0.958"
"1625","0.958"
"1627","0.958"
"1629","0.958"
"1630","0.957"
"1631","0.957"
"1632","0.957"
"1633","0.957"
"1634","0.957"
"1636","0.957"
"1638","0.957"
"1639","0.957"
"1640","0.957"
"1641","0.956"
"1642","0.956"
"1643","0.956"
"1644","0.956"
"1647","0.956"
"1648","0.956"
"1649","0.956"
"1650","0.955"
"1651","0.955"
"1652","0.955"
"1654","0.955"
"1655","0.955"
"1656","0.955"
"1657","0.955"
"1659","0.955"
"1661","0.955"
"1662","0.955"
"1663","0.955"
"1664","0.955"
"1665","0.954"
"1666","0.954"
"1667","0.954"
"1668","0.954"
"1670","0.954"
"1673","0.954"
"1674","0.954"
"1675","0.954"
"1676","0.954"
"1677","0.954"
"1678","0.954"
"1679","0.954"
"1680","0.953"
"1681","0.953"
"1682","0.953"
"1683","0.953"
"1684","0.953"
"1685","0.953"
"1686","0.953"
"1687","0.953"
"1689","0.953"
"1690","0.953"
"1691","0.953"
"1692","0.953"
"1694","0.953"
"1695","0.953"
"1696","0.953"
"1697","0.953"
"1698","0.952"
"1699","0.952"
"1701","0.952"
"1702","0.952"
"1703","0.952"
"1704","0.952"
"1705","0.952"
"1706","0.952"
"1707","0.952"
"1708","0.952"
"1709","0.952"
"1710","0.952"
"1711","0.952"
"1712","0.952"
"1713","0.951"
"1714","0.951"
"1715","0.952"
"1716","0.951"
"1717","0.951"
"1718","0.951"
"1719","0.951"
"1720","0.951"
"1721","0.951"
"1722","0.951"
"1723","0.951"
"1724","0.951"
"1725","0.951"
"1726","0.951"
"1727","0.951"
"1728","0.951"
"1729","0.951"
"1730","0.95"
"1731","0.95"
"1732","0.95"
"1733","0.95"
"1734","0.95"
"1735","0.95"
"1736","0.95"
"1738","0.95"
"1739","0.95"
"1740","0.95"
"1741","0.95"
"1742","0.95"
"1744","0.95"
"1745","0.95"
"1746","0.95"
"1748","0.949"
"1749","0.949"
"1750","0.949"
"1752","0.949"
"1753","0.949"
"1754","0.949"
"1755","0.949"
"1756","0.949"
"1757","0.949"
"1758","0.949"
"1759","0.949"
"1760","0.949"
"1761","0.949"
"1762","0.949"
"1763","0.948"
"1764","0.948"
"1765","0.948"
"1766","0.948"
"1767","0.948"
"1768","0.948"
"1769","0.948"
"1770","0.948"
"1771","0.948"
"1772","0.948"
"1773","0.948"
"1774","0.948"
"1775","0.948"
"1776","0.948"
"1777","0.947"
"1778","0.948"
"1779","0.947"
"1780","0.947"
"1781","0.947"
"1782","0.947"
"1783","0.947"
"1784","0.947"
"1786","0.947"
"1787","0.947"
"1788","0.947"
"1789","0.947"
"1790","0.947"
"1791","0.947"
"1792","0.947"
"1793","0.947"
"1794","0.947"
"1795","0.947"
"1796","0.946"
"1797","0.946"
"1798","0.946"
"1799","0.946"
"1801","0.946"
"1802","0.946"
"1803","0.946"
"1804","0.946"
"1805","0.946"
"1806","0.946"
"1808","0.946"
